;Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Unnamed: 7
4870;2019-02-21_06-36-31to2019-02-21_06-36-39_1-0082.png;3;Starfish;399;435;465;513;
4986;2019-02-21_06-36-31to2019-02-21_06-36-39_1-0082.png;4;Crab;580;411;609;435;
5067;2019-02-21_06-36-31to2019-02-21_06-36-39_1-0082.png;5;Crab;643;451;690;494;
5187;2019-02-21_06-36-31to2019-02-21_06-36-39_1-0082.png;6;Shrimp;131;429;271;508;
16765;2019-02-22_22-11-57to2019-02-22_22-12-10_1-0065.png;10;Fish;565;273;626;431;
18413;2019-03-19_19-30-33to2019-03-19_19-30-45_1-0078.png;2;Starfish;554;411;647;530;
18553;2019-03-19_19-30-33to2019-03-19_19-30-45_1-0078.png;4;Fish;98;430;270;511;
11599;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0063.png;1;Small_fish;237;420;364;505;
11625;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0063.png;2;Small_fish;173;438;242;494;
11648;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0063.png;4;Small_fish;130;485;224;553;
11695;2019-03-19_17-02-04to2019-03-19_17-02-12_1-0063.png;8;Small_fish;224;501;270;543;
23213;2019-03-21_00-14-36to2019-03-21_00-14-49_1-0074.png;13;Crab;664;488;730;520;
15638;2019-03-21_03-21-54to2019-03-21_03-22-09_1-0099.png;8;Fish;520;292;644;433;
4684;2019-02-21_06-50-24to2019-02-21_06-50-40_1-0189.png;8;Starfish;432;460;474;519;
16254;2019-03-19_14-02-47to2019-03-19_14-03-00_1-0074.png;25;Fish;705;341;775;441;
18467;2019-03-19_19-30-33to2019-03-19_19-30-45_1-0135.png;2;Starfish;554;411;630;528;
18610;2019-03-19_19-30-33to2019-03-19_19-30-45_1-0135.png;4;Fish;824;475;936;539;
6018;2019-03-19_18-15-37to2019-03-19_18-15-45_1-0015.png;1;Starfish;553;484;629;539;
18708;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0094.png;13;Crab;492;441;574;506;
18882;2019-03-21_03-27-02to2019-03-21_03-27-17_1-0094.png;14;Fish;459;374;502;433;
19641;2019-02-22_23-28-21to2019-02-22_23-28-34_1-0094.png;17;Fish;80;228;316;468;
24452;2019-03-21_00-58-45to2019-03-21_00-58-55_1-0073.png;24;Jellyfish;263;313;301;364;
16673;2019-03-20_23-54-24to2019-03-20_23-54-35_1-0110.png;7;Fish;392;305;525;487;
46;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;21;Starfish;592;382;638;418;
114;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;22;Small_fish;616;25;680;56;
195;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;23;Crab;543;263;577;293;
307;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;24;Crab;379;307;413;337;
419;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;25;Crab;484;289;512;309;
531;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0049.png;26;Crab;626;365;650;388;
9140;2019-03-19_17-07-53to2019-03-19_17-08-34_1-0025.png;1;Small_fish;0;405;54;439;
7116;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0066.png;1;Starfish;398;477;469;535;
7416;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0066.png;3;Crab;587;443;624;471;
7722;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0066.png;5;Small_fish;102;397;180;419;
7936;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0066.png;6;Small_fish;0;405;41;424;
11748;2019-02-21_06-52-16to2019-02-21_06-52-34_1-0051.png;3;Starfish;431;459;475;505;
15630;2019-03-21_03-21-54to2019-03-21_03-22-09_1-0091.png;8;Fish;446;328;596;476;
17322;2019-03-06_22-03-36to2019-03-06_22-04-08_1-0380.png;19;Fish;175;211;282;262;
18268;2019-02-22_22-22-16to2019-02-22_22-22-27_1-0058.png;15;Fish;0;368;315;539;
12965;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0067.png;1;Starfish;435;458;476;503;
13090;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0067.png;2;Crab;483;446;526;492;
13242;2019-02-21_06-52-52to2019-02-21_06-53-01_1-0067.png;6;Small_fish;566;508;607;526;
6098;2019-03-19_18-15-37to2019-03-19_18-15-45_1-0095.png;1;Starfish;553;484;629;539;
3601;2019-03-06_22-00-43to2019-03-06_22-00-51_1-0049.png;18;Shrimp;13;0;78;144;
19799;2019-03-06_22-01-00to2019-03-06_22-01-09_1-0102.png;32;Crab;615;407;653;427;
45;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;21;Starfish;592;382;638;418;
113;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;22;Small_fish;601;19;664;46;
194;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;23;Crab;543;263;577;293;
306;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;24;Crab;379;307;413;337;
418;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;25;Crab;484;289;512;309;
530;2019-03-25_23-17-56to2019-03-25_23-18-04_1-0048.png;26;Crab;626;365;650;388;
941;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0152.png;16;Shrimp;493;127;531;176;
1153;2019-02-26_00-44-33to2019-02-26_00-44-47_1-0152.png;17;Starfish;371;413;397;479;
2815;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0142.png;20;Small_fish;494;367;529;460;
3016;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0142.png;21;Crab;660;455;689;488;
3226;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0142.png;22;Crab;591;477;644;512;
3429;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0142.png;23;Crab;523;416;560;438;
3478;2019-03-06_22-16-56to2019-03-06_22-17-10_1-0142.png;25;Crab;422;355;457;379;
20328;2019-03-19_13-33-15to2019-03-19_13-33-25_1-0146.png;1;Crab;252;245;266;258;
20490;2019-03-19_13-33-15to2019-03-19_13-33-25_1-0146.png;2;Crab;590;439;624;467;
23957;2019-03-19_11-41-37to2019-03-19_11-41-47_1-0063.png;40;Crab;605;292;721;427;
9146;2019-03-19_17-07-53to2019-03-19_17-08-34_1-0035.png;2;Small_fish;0;369;36;412;
23417;2019-03-19_20-53-30to2019-03-19_20-53-39_1-0088.png;8;Starfish;540;477;636;539;
23548;2019-03-19_20-53-30to2019-03-19_20-53-39_1-0088.png;9;Crab;494;482;543;534;
7219;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;1;Starfish;398;476;469;534;
7519;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;3;Crab;597;426;640;456;
7825;2019-02-21_06-56-08to2019-02-21_06-56-28_1-0169.png;5;Small_fish;23;374;84;389;
